"name","method","csize","usize","lho"
"META-INF/com/android/build/gradle/app-metadata.properties","8","52","56","0"
"lib/arm64-v8a/libcocos2djs.so","0","9843313","9843313","164"
"lib/armeabi-v7a/libcocos2djs.so","0","9012683","9012683","9847409"
"assets/assets/Res/config.json","8","363","358","18863563"
"assets/assets/Res/import/2a/2a9d5a4f-e29b-48b1-a971-4d7ca74e3b81.json","8","344","339","18864028"
"assets/assets/Res/import/37/3728ac80-21cc-4bbb-a5d4-b4295f5884b5.json","8","80","78","18864514"
"assets/assets/Res/import/b4/b4b120c9-9a67-4d06-868f-22e572ee134b.json","8","194","189","18864736"
"assets/assets/Res/index.jsc","8","325","320","18865072"
"assets/assets/Res/native/37/3728ac80-21cc-4bbb-a5d4-b4295f5884b5.png","0","6227","6227","18865479"
"assets/assets/internal/config.json","8","1371","1366","18871815"
"assets/assets/internal/import/09/0967b326a.json","8","57732","57712","18873293"
"assets/assets/internal/index.jsc","8","325","320","18931145"
"assets/assets/internal/native/02/0275e94c-56a7-410f-bd1a-fc7483f7d14a.png","0","82","82","18931557"
"assets/assets/main/config.json","8","17364","17354","18931754"
"assets/assets/main/import/00/00dd22c9-f570-4a01-b05a-3450f6ffe681.json","8","80","78","18949221"
"assets/assets/main/import/01/0196ccdc-dd64-4cf7-941f-2b996f93f525.json","8","195","190","18949444"
"assets/assets/main/import/02/021e4d3b-5406-416b-88a9-9e28ccf39986.json","8","194","189","18949782"
"assets/assets/main/import/02/026e583e-74bb-4eed-b0d1-5e1611d488ca.json","8","80","78","18950119"
"assets/assets/main/import/02/02a055d3-8e3f-4dcd-a686-1f92f49dbb81.json","8","195","190","18950342"
"assets/assets/main/import/02/02cc0e0e-f8d2-4641-b04b-389fbc3b70e4.json","8","198","193","18950680"
"assets/assets/main/import/04/04183a82-aab8-433c-9d3c-84aa76339b08.json","8","201","196","18951021"
"assets/assets/main/import/04/0449206b-704e-4ca6-a217-d294c25ed672.json","8","195","190","18951365"
"assets/assets/main/import/06/063263c3-36c6-4b1b-bf1b-90e9cec9a2c0.json","8","192","187","18951703"
"assets/assets/main/import/07/074556a4-f77b-41f3-9e6b-2feb698a48e6.json","8","80","78","18952038"
"assets/assets/main/import/07/076d0afb-176e-45f2-94db-c7e7d57d23b3.json","8","80","78","18952261"
"assets/assets/main/import/07/0798bba1-b5fe-487f-b3a6-a253faa77069.json","8","80","78","18952484"
"assets/assets/main/import/07/07ab9d8f-ea4d-4acf-829c-58ed70b8ef94.json","8","195","190","18952707"
"assets/assets/main/import/07/07cfe2b0-ed8a-4038-a39a-6a1233f56e5e.json","8","192","187","18953045"
"assets/assets/main/import/07/07eb9435-00d9-416a-815c-9c3c855f436d.json","8","80","78","18953380"
"assets/assets/main/import/09/099109f0-2206-4acb-bd79-57c1bde699de.json","8","202","197","18953603"
"assets/assets/main/import/0a/0a947629-a234-4b09-ab24-886d67fd2ffe.json","8","196","191","18953948"
"assets/assets/main/import/0a/0aa1049d-8aad-4fc2-8361-e3018c0a74ae.json","8","80","78","18954287"
"assets/assets/main/import/0c/0c4dce21-5c12-40b6-8d6b-944e992641cd.json","8","80","78","18954510"
"assets/assets/main/import/0f/0f0b3a92-7ec7-4d64-b50a-3ab870ac94e6.json","8","204","199","18954733"
"assets/assets/main/import/0f/0fc3b4de-8b9e-4cfd-a30f-f978f91dca9c.json","8","192","187","18955080"
"assets/assets/main/import/0f/0fe9e0c0-bbfb-4df2-9452-34c93d7d7cc0.json","8","80","78","18955415"
"assets/assets/main/import/11/1171831b-3237-4ebe-ac12-dce409efff0f.json","8","192","187","18955638"
"assets/assets/main/import/11/11a1d616-ff1b-4a0e-9cbd-a540b29f304a.json","8","192","187","18955973"
"assets/assets/main/import/12/12102023-efc9-4d93-90ae-91df80cbe086.json","8","202","197","18956308"
"assets/assets/main/import/12/124b5b85-4a5e-4b58-9e72-cff5ff7272c2.json","8","192","187","18956653"
"assets/assets/main/import/12/1251f775-0676-4af1-a342-93c5d52ef6ab.json","8","193","188","18956988"
"assets/assets/main/import/12/12611ff3-b580-48ae-971e-a3d7b6d06291.json","8","80","78","18957324"
